PING 186.195.16.13 (186.195.16.13) 56(84) bytes of data.
64 bytes from 186.195.16.13: icmp_req=1 ttl=64 time=0.289 ms
64 bytes from 186.195.16.13: icmp_req=2 ttl=64 time=0.161 ms
64 bytes from 186.195.16.13: icmp_req=3 ttl=64 time=0.148 ms
64 bytes from 186.195.16.13: icmp_req=4 ttl=64 time=0.166 ms
64 bytes from 186.195.16.13: icmp_req=5 ttl=64 time=0.188 ms
64 bytes from 186.195.16.13: icmp_req=6 ttl=64 time=0.171 ms
64 bytes from 186.195.16.13: icmp_req=7 ttl=64 time=0.166 ms
64 bytes from 186.195.16.13: icmp_req=8 ttl=64 time=0.147 ms
64 bytes from 186.195.16.13: icmp_req=9 ttl=64 time=0.190 ms
64 bytes from 186.195.16.13: icmp_req=10 ttl=64 time=0.161 ms
64 bytes from 186.195.16.13: icmp_req=11 ttl=64 time=0.216 ms
64 bytes from 186.195.16.13: icmp_req=12 ttl=64 time=0.188 ms
64 bytes from 186.195.16.13: icmp_req=13 ttl=64 time=0.168 ms
64 bytes from 186.195.16.13: icmp_req=14 ttl=64 time=0.146 ms
64 bytes from 186.195.16.13: icmp_req=15 ttl=64 time=0.167 ms
64 bytes from 186.195.16.13: icmp_req=16 ttl=64 time=0.165 ms
64 bytes from 186.195.16.13: icmp_req=17 ttl=64 time=0.156 ms
64 bytes from 186.195.16.13: icmp_req=18 ttl=64 time=0.179 ms
64 bytes from 186.195.16.13: icmp_req=19 ttl=64 time=0.157 ms
64 bytes from 186.195.16.13: icmp_req=20 ttl=64 time=0.159 ms
64 bytes from 186.195.16.13: icmp_req=21 ttl=64 time=0.157 ms
64 bytes from 186.195.16.13: icmp_req=22 ttl=64 time=0.157 ms
64 bytes from 186.195.16.13: icmp_req=23 ttl=64 time=0.166 ms
64 bytes from 186.195.16.13: icmp_req=24 ttl=64 time=0.123 ms
64 bytes from 186.195.16.13: icmp_req=25 ttl=64 time=0.130 ms
64 bytes from 186.195.16.13: icmp_req=26 ttl=64 time=0.172 ms
64 bytes from 186.195.16.13: icmp_req=27 ttl=64 time=0.162 ms
64 bytes from 186.195.16.13: icmp_req=28 ttl=64 time=0.171 ms
64 bytes from 186.195.16.13: icmp_req=29 ttl=64 time=0.159 ms
64 bytes from 186.195.16.13: icmp_req=30 ttl=64 time=0.157 ms
64 bytes from 186.195.16.13: icmp_req=31 ttl=64 time=0.165 ms
64 bytes from 186.195.16.13: icmp_req=32 ttl=64 time=0.160 ms
64 bytes from 186.195.16.13: icmp_req=33 ttl=64 time=0.143 ms
64 bytes from 186.195.16.13: icmp_req=34 ttl=64 time=0.171 ms
64 bytes from 186.195.16.13: icmp_req=35 ttl=64 time=0.120 ms
64 bytes from 186.195.16.13: icmp_req=36 ttl=64 time=0.164 ms
64 bytes from 186.195.16.13: icmp_req=37 ttl=64 time=0.175 ms
64 bytes from 186.195.16.13: icmp_req=38 ttl=64 time=0.162 ms
64 bytes from 186.195.16.13: icmp_req=39 ttl=64 time=0.170 ms
64 bytes from 186.195.16.13: icmp_req=40 ttl=64 time=0.169 ms
64 bytes from 186.195.16.13: icmp_req=41 ttl=64 time=0.205 ms
64 bytes from 186.195.16.13: icmp_req=42 ttl=64 time=0.135 ms
64 bytes from 186.195.16.13: icmp_req=43 ttl=64 time=0.172 ms
64 bytes from 186.195.16.13: icmp_req=44 ttl=64 time=0.174 ms
64 bytes from 186.195.16.13: icmp_req=45 ttl=64 time=0.160 ms
64 bytes from 186.195.16.13: icmp_req=46 ttl=64 time=0.157 ms
64 bytes from 186.195.16.13: icmp_req=47 ttl=64 time=0.149 ms
64 bytes from 186.195.16.13: icmp_req=48 ttl=64 time=0.163 ms
64 bytes from 186.195.16.13: icmp_req=49 ttl=64 time=0.174 ms
64 bytes from 186.195.16.13: icmp_req=50 ttl=64 time=0.173 ms
64 bytes from 186.195.16.13: icmp_req=51 ttl=64 time=0.176 ms
64 bytes from 186.195.16.13: icmp_req=52 ttl=64 time=0.149 ms
64 bytes from 186.195.16.13: icmp_req=53 ttl=64 time=0.174 ms
64 bytes from 186.195.16.13: icmp_req=54 ttl=64 time=0.182 ms
64 bytes from 186.195.16.13: icmp_req=55 ttl=64 time=0.195 ms
64 bytes from 186.195.16.13: icmp_req=56 ttl=64 time=0.175 ms
64 bytes from 186.195.16.13: icmp_req=57 ttl=64 time=0.140 ms
64 bytes from 186.195.16.13: icmp_req=58 ttl=64 time=0.152 ms
64 bytes from 186.195.16.13: icmp_req=59 ttl=64 time=0.167 ms
64 bytes from 186.195.16.13: icmp_req=60 ttl=64 time=0.180 ms
64 bytes from 186.195.16.13: icmp_req=61 ttl=64 time=0.154 ms
64 bytes from 186.195.16.13: icmp_req=62 ttl=64 time=0.173 ms
64 bytes from 186.195.16.13: icmp_req=63 ttl=64 time=0.172 ms
64 bytes from 186.195.16.13: icmp_req=64 ttl=64 time=0.168 ms
64 bytes from 186.195.16.13: icmp_req=65 ttl=64 time=0.170 ms
64 bytes from 186.195.16.13: icmp_req=66 ttl=64 time=0.178 ms
64 bytes from 186.195.16.13: icmp_req=67 ttl=64 time=0.173 ms
64 bytes from 186.195.16.13: icmp_req=68 ttl=64 time=0.160 ms
64 bytes from 186.195.16.13: icmp_req=69 ttl=64 time=0.153 ms
64 bytes from 186.195.16.13: icmp_req=70 ttl=64 time=0.166 ms
64 bytes from 186.195.16.13: icmp_req=71 ttl=64 time=0.162 ms
64 bytes from 186.195.16.13: icmp_req=72 ttl=64 time=0.163 ms
64 bytes from 186.195.16.13: icmp_req=73 ttl=64 time=0.221 ms
64 bytes from 186.195.16.13: icmp_req=74 ttl=64 time=0.186 ms
64 bytes from 186.195.16.13: icmp_req=75 ttl=64 time=0.133 ms
64 bytes from 186.195.16.13: icmp_req=76 ttl=64 time=0.161 ms
64 bytes from 186.195.16.13: icmp_req=77 ttl=64 time=0.118 ms
64 bytes from 186.195.16.13: icmp_req=78 ttl=64 time=0.156 ms
64 bytes from 186.195.16.13: icmp_req=79 ttl=64 time=0.176 ms
64 bytes from 186.195.16.13: icmp_req=80 ttl=64 time=0.218 ms
64 bytes from 186.195.16.13: icmp_req=81 ttl=64 time=0.167 ms
64 bytes from 186.195.16.13: icmp_req=82 ttl=64 time=0.163 ms
64 bytes from 186.195.16.13: icmp_req=83 ttl=64 time=0.150 ms
64 bytes from 186.195.16.13: icmp_req=84 ttl=64 time=0.199 ms
64 bytes from 186.195.16.13: icmp_req=85 ttl=64 time=0.171 ms
64 bytes from 186.195.16.13: icmp_req=86 ttl=64 time=0.306 ms
64 bytes from 186.195.16.13: icmp_req=87 ttl=64 time=0.178 ms
64 bytes from 186.195.16.13: icmp_req=88 ttl=64 time=0.174 ms
64 bytes from 186.195.16.13: icmp_req=89 ttl=64 time=0.155 ms
64 bytes from 186.195.16.13: icmp_req=90 ttl=64 time=0.149 ms
64 bytes from 186.195.16.13: icmp_req=91 ttl=64 time=0.185 ms
64 bytes from 186.195.16.13: icmp_req=92 ttl=64 time=0.219 ms
64 bytes from 186.195.16.13: icmp_req=93 ttl=64 time=0.193 ms
64 bytes from 186.195.16.13: icmp_req=94 ttl=64 time=0.342 ms
64 bytes from 186.195.16.13: icmp_req=95 ttl=64 time=0.264 ms
64 bytes from 186.195.16.13: icmp_req=96 ttl=64 time=0.268 ms
64 bytes from 186.195.16.13: icmp_req=97 ttl=64 time=0.322 ms
64 bytes from 186.195.16.13: icmp_req=98 ttl=64 time=0.305 ms
64 bytes from 186.195.16.13: icmp_req=99 ttl=64 time=0.296 ms
64 bytes from 186.195.16.13: icmp_req=100 ttl=64 time=0.189 ms
64 bytes from 186.195.16.13: icmp_req=101 ttl=64 time=0.226 ms
64 bytes from 186.195.16.13: icmp_req=102 ttl=64 time=0.272 ms
64 bytes from 186.195.16.13: icmp_req=103 ttl=64 time=0.257 ms
64 bytes from 186.195.16.13: icmp_req=104 ttl=64 time=0.293 ms
64 bytes from 186.195.16.13: icmp_req=105 ttl=64 time=0.352 ms
64 bytes from 186.195.16.13: icmp_req=106 ttl=64 time=0.359 ms
64 bytes from 186.195.16.13: icmp_req=107 ttl=64 time=0.307 ms
64 bytes from 186.195.16.13: icmp_req=108 ttl=64 time=0.307 ms
64 bytes from 186.195.16.13: icmp_req=109 ttl=64 time=0.296 ms
64 bytes from 186.195.16.13: icmp_req=110 ttl=64 time=0.251 ms
64 bytes from 186.195.16.13: icmp_req=111 ttl=64 time=0.289 ms
64 bytes from 186.195.16.13: icmp_req=112 ttl=64 time=0.205 ms
64 bytes from 186.195.16.13: icmp_req=113 ttl=64 time=0.228 ms
64 bytes from 186.195.16.13: icmp_req=114 ttl=64 time=0.284 ms
64 bytes from 186.195.16.13: icmp_req=115 ttl=64 time=0.202 ms
64 bytes from 186.195.16.13: icmp_req=116 ttl=64 time=0.265 ms
64 bytes from 186.195.16.13: icmp_req=117 ttl=64 time=0.375 ms
64 bytes from 186.195.16.13: icmp_req=118 ttl=64 time=0.205 ms
64 bytes from 186.195.16.13: icmp_req=119 ttl=64 time=0.269 ms
64 bytes from 186.195.16.13: icmp_req=120 ttl=64 time=0.229 ms
64 bytes from 186.195.16.13: icmp_req=121 ttl=64 time=0.209 ms
64 bytes from 186.195.16.13: icmp_req=122 ttl=64 time=0.257 ms
64 bytes from 186.195.16.13: icmp_req=123 ttl=64 time=0.222 ms
64 bytes from 186.195.16.13: icmp_req=124 ttl=64 time=0.226 ms
64 bytes from 186.195.16.13: icmp_req=125 ttl=64 time=0.240 ms
64 bytes from 186.195.16.13: icmp_req=126 ttl=64 time=0.237 ms
64 bytes from 186.195.16.13: icmp_req=127 ttl=64 time=0.312 ms
64 bytes from 186.195.16.13: icmp_req=128 ttl=64 time=0.291 ms
64 bytes from 186.195.16.13: icmp_req=129 ttl=64 time=0.225 ms
64 bytes from 186.195.16.13: icmp_req=130 ttl=64 time=0.328 ms
64 bytes from 186.195.16.13: icmp_req=131 ttl=64 time=0.246 ms
64 bytes from 186.195.16.13: icmp_req=132 ttl=64 time=0.199 ms
64 bytes from 186.195.16.13: icmp_req=133 ttl=64 time=0.270 ms
64 bytes from 186.195.16.13: icmp_req=134 ttl=64 time=0.390 ms
64 bytes from 186.195.16.13: icmp_req=135 ttl=64 time=0.315 ms
64 bytes from 186.195.16.13: icmp_req=136 ttl=64 time=0.226 ms
64 bytes from 186.195.16.13: icmp_req=137 ttl=64 time=0.272 ms
64 bytes from 186.195.16.13: icmp_req=138 ttl=64 time=0.183 ms
64 bytes from 186.195.16.13: icmp_req=139 ttl=64 time=0.245 ms
64 bytes from 186.195.16.13: icmp_req=140 ttl=64 time=0.218 ms
64 bytes from 186.195.16.13: icmp_req=141 ttl=64 time=0.286 ms
64 bytes from 186.195.16.13: icmp_req=142 ttl=64 time=0.235 ms
64 bytes from 186.195.16.13: icmp_req=143 ttl=64 time=0.453 ms
64 bytes from 186.195.16.13: icmp_req=144 ttl=64 time=0.414 ms
64 bytes from 186.195.16.13: icmp_req=145 ttl=64 time=0.289 ms
64 bytes from 186.195.16.13: icmp_req=146 ttl=64 time=0.168 ms
64 bytes from 186.195.16.13: icmp_req=147 ttl=64 time=0.213 ms
64 bytes from 186.195.16.13: icmp_req=148 ttl=64 time=0.180 ms
64 bytes from 186.195.16.13: icmp_req=149 ttl=64 time=0.191 ms
64 bytes from 186.195.16.13: icmp_req=150 ttl=64 time=0.185 ms
64 bytes from 186.195.16.13: icmp_req=151 ttl=64 time=0.182 ms
64 bytes from 186.195.16.13: icmp_req=152 ttl=64 time=0.288 ms
64 bytes from 186.195.16.13: icmp_req=153 ttl=64 time=0.235 ms
64 bytes from 186.195.16.13: icmp_req=154 ttl=64 time=0.176 ms
64 bytes from 186.195.16.13: icmp_req=155 ttl=64 time=0.220 ms
64 bytes from 186.195.16.13: icmp_req=156 ttl=64 time=0.286 ms
64 bytes from 186.195.16.13: icmp_req=157 ttl=64 time=0.288 ms
64 bytes from 186.195.16.13: icmp_req=158 ttl=64 time=0.206 ms
64 bytes from 186.195.16.13: icmp_req=159 ttl=64 time=0.215 ms
64 bytes from 186.195.16.13: icmp_req=160 ttl=64 time=0.291 ms
64 bytes from 186.195.16.13: icmp_req=161 ttl=64 time=0.281 ms
64 bytes from 186.195.16.13: icmp_req=162 ttl=64 time=0.188 ms
64 bytes from 186.195.16.13: icmp_req=163 ttl=64 time=0.293 ms
64 bytes from 186.195.16.13: icmp_req=164 ttl=64 time=0.204 ms
64 bytes from 186.195.16.13: icmp_req=165 ttl=64 time=0.227 ms
64 bytes from 186.195.16.13: icmp_req=166 ttl=64 time=0.225 ms
64 bytes from 186.195.16.13: icmp_req=167 ttl=64 time=0.236 ms
64 bytes from 186.195.16.13: icmp_req=168 ttl=64 time=0.182 ms
64 bytes from 186.195.16.13: icmp_req=169 ttl=64 time=0.293 ms
