PING 192.168.2.69 (192.168.2.69) 56(84) bytes of data.
64 bytes from 192.168.2.69: icmp_seq=1 ttl=64 time=0.862 ms
64 bytes from 192.168.2.69: icmp_seq=2 ttl=64 time=0.210 ms
64 bytes from 192.168.2.69: icmp_seq=3 ttl=64 time=0.616 ms
64 bytes from 192.168.2.69: icmp_seq=4 ttl=64 time=0.563 ms
64 bytes from 192.168.2.69: icmp_seq=5 ttl=64 time=0.252 ms
64 bytes from 192.168.2.69: icmp_seq=6 ttl=64 time=0.164 ms
64 bytes from 192.168.2.69: icmp_seq=7 ttl=64 time=0.168 ms
64 bytes from 192.168.2.69: icmp_seq=8 ttl=64 time=0.563 ms
64 bytes from 192.168.2.69: icmp_seq=9 ttl=64 time=0.246 ms
64 bytes from 192.168.2.69: icmp_seq=10 ttl=64 time=0.612 ms
64 bytes from 192.168.2.69: icmp_seq=11 ttl=64 time=0.555 ms
64 bytes from 192.168.2.69: icmp_seq=12 ttl=64 time=0.559 ms
64 bytes from 192.168.2.69: icmp_seq=13 ttl=64 time=0.277 ms
64 bytes from 192.168.2.69: icmp_seq=14 ttl=64 time=0.626 ms
64 bytes from 192.168.2.69: icmp_seq=15 ttl=64 time=0.542 ms
64 bytes from 192.168.2.69: icmp_seq=16 ttl=64 time=0.386 ms
64 bytes from 192.168.2.69: icmp_seq=17 ttl=64 time=0.601 ms
64 bytes from 192.168.2.69: icmp_seq=18 ttl=64 time=0.518 ms
64 bytes from 192.168.2.69: icmp_seq=19 ttl=64 time=0.419 ms
64 bytes from 192.168.2.69: icmp_seq=20 ttl=64 time=0.535 ms
64 bytes from 192.168.2.69: icmp_seq=21 ttl=64 time=0.335 ms
64 bytes from 192.168.2.69: icmp_seq=22 ttl=64 time=0.610 ms
64 bytes from 192.168.2.69: icmp_seq=23 ttl=64 time=0.487 ms
64 bytes from 192.168.2.69: icmp_seq=24 ttl=64 time=0.545 ms
64 bytes from 192.168.2.69: icmp_seq=25 ttl=64 time=0.294 ms
64 bytes from 192.168.2.69: icmp_seq=26 ttl=64 time=0.624 ms
64 bytes from 192.168.2.69: icmp_seq=27 ttl=64 time=0.625 ms
64 bytes from 192.168.2.69: icmp_seq=28 ttl=64 time=0.248 ms
64 bytes from 192.168.2.69: icmp_seq=29 ttl=64 time=0.229 ms
64 bytes from 192.168.2.69: icmp_seq=30 ttl=64 time=0.289 ms
64 bytes from 192.168.2.69: icmp_seq=31 ttl=64 time=0.210 ms
64 bytes from 192.168.2.69: icmp_seq=32 ttl=64 time=0.535 ms
64 bytes from 192.168.2.69: icmp_seq=33 ttl=64 time=0.239 ms
64 bytes from 192.168.2.69: icmp_seq=34 ttl=64 time=0.384 ms
64 bytes from 192.168.2.69: icmp_seq=35 ttl=64 time=0.210 ms
64 bytes from 192.168.2.69: icmp_seq=36 ttl=64 time=0.275 ms
64 bytes from 192.168.2.69: icmp_seq=49 ttl=64 time=0.274 ms
64 bytes from 192.168.2.69: icmp_seq=50 ttl=64 time=0.203 ms
64 bytes from 192.168.2.69: icmp_seq=51 ttl=64 time=0.149 ms
64 bytes from 192.168.2.69: icmp_seq=52 ttl=64 time=0.130 ms
